date,card,type,amount
date,card,type,amount
1/1/2000,Amex,Food,30.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00
1/1/2000,Amex,Food,40.00

